County,Region,State,State_ABB,Adult Obesity,Adult Smokers,Children in Poverty,Diabetic,Food Insecure,Physically Inactive
Adams,Midwest,Illinois,IL,35%,16%,20%,10%,13%,24%
Alexander,Midwest,Illinois,IL,32%,24%,52%,16%,22%,30%
Bond,Midwest,Illinois,IL,31%,17%,21%,10%,13%,26%
Boone,Midwest,Illinois,IL,34%,16%,15%,10%,11%,24%
Brown,Midwest,Illinois,IL,32%,16%,15%,8%,12%,27%
Bureau,Midwest,Illinois,IL,30%,15%,20%,10%,12%,28%
Calhoun,Midwest,Illinois,IL,30%,15%,16%,10%,13%,30%
Carroll,Midwest,Illinois,IL,32%,15%,20%,11%,13%,27%
Cass,Midwest,Illinois,IL,29%,16%,19%,10%,12%,25%
Champaign,Midwest,Illinois,IL,27%,17%,24%,8%,17%,21%
Christian,Midwest,Illinois,IL,33%,16%,20%,10%,14%,32%
Clark,Midwest,Illinois,IL,33%,15%,20%,10%,14%,28%
Clay,Midwest,Illinois,IL,32%,17%,20%,10%,15%,33%
Clinton,Midwest,Illinois,IL,28%,15%,13%,9%,11%,30%
Coles,Midwest,Illinois,IL,28%,20%,25%,9%,17%,24%
Cook,Midwest,Illinois,IL,25%,16%,25%,10%,15%,20%
Crawford,Midwest,Illinois,IL,34%,16%,21%,10%,14%,26%
Cumberland,Midwest,Illinois,IL,30%,16%,16%,10%,14%,26%
De Witt,Midwest,Illinois,IL,32%,15%,17%,9%,13%,26%
DeKalb,Midwest,Illinois,IL,27%,17%,16%,8%,15%,22%
Douglas,Midwest,Illinois,IL,31%,16%,15%,9%,11%,27%
DuPage,Midwest,Illinois,IL,24%,12%,11%,8%,9%,18%
Edgar,Midwest,Illinois,IL,33%,17%,23%,11%,15%,24%
Edwards,Midwest,Illinois,IL,32%,16%,17%,10%,13%,27%
Effingham,Midwest,Illinois,IL,29%,15%,17%,9%,11%,25%
Fayette,Midwest,Illinois,IL,37%,17%,25%,10%,15%,24%
Ford,Midwest,Illinois,IL,30%,15%,19%,10%,12%,26%
Franklin,Midwest,Illinois,IL,31%,18%,30%,11%,17%,28%
Fulton,Midwest,Illinois,IL,32%,16%,22%,10%,14%,29%
Gallatin,Midwest,Illinois,IL,31%,17%,28%,11%,15%,29%
Greene,Midwest,Illinois,IL,30%,17%,22%,10%,14%,28%
Grundy,Midwest,Illinois,IL,31%,15%,11%,8%,12%,25%
Hamilton,Midwest,Illinois,IL,29%,17%,21%,11%,14%,27%
Hancock,Midwest,Illinois,IL,29%,15%,18%,11%,14%,29%
Hardin,Midwest,Illinois,IL,33%,18%,33%,13%,17%,29%
Henderson,Midwest,Illinois,IL,32%,15%,19%,10%,12%,28%
